,dzielnica,powierzchnia,lPokoi,powierzchniaDzialki,rodzajZabudowy,materialBudynku,rokBudowy,stanWykonczenia,okna,rynek,lPieter,cena
43,Dom na sprzedaż mazowieckie Warszawa Ursynów ul. Ludwinowska ,"174,20 m²",4,"76,10 m²",,,2022,,,pierwotny,0,0
44,Dom na sprzedaż mazowieckie pruszkowski Nadarzyn ,602 m²,7,6 200 m²,,,0,,,wtórny,0,2 960 000 zł
45,Dom na sprzedaż mazowieckie pruszkowski Urzut ,173 m²,5,1 001 m²,wolnostojący,inne,2009,,plastikowe,wtórny,0,1 155 000 zł
46,Dom na sprzedaż mazowieckie Warszawa Białołęka Choszczówka ,177 m²,5,430 m²,bliźniak,pustak,2021,do wykończenia,plastikowe,pierwotny,1 piętro,1 350 000 zł
47,Dom na sprzedaż mazowieckie legionowski Skrzeszew Szkolna ,130 m²,4,700 m²,wolnostojący,beton komórkowy,2021,,plastikowe,wtórny,0,649 999 zł
48,Dom na sprzedaż mazowieckie piaseczyński Zgorzała ul. Przepiórki ,"96,43 m²",3,85 m²,,,2022,,,pierwotny,0,0
49,Dom na sprzedaż mazowieckie pruszkowski Michałowice-Wieś ul. Pałacowa ,190 m²,4,900 m²,,,2022,,,pierwotny,0,0
50,Dom na sprzedaż mazowieckie piaseczyński Piaseczno ,300 m²,5,1 200 m²,wolnostojący,,0,,,wtórny,1 piętro,1 600 000 zł
51,Dom na sprzedaż mazowieckie grodziski Grodzisk Mazowiecki ,270 m²,7,2 100 m²,wolnostojący,,0,,,wtórny,1 piętro,1 900 000 zł
52,Dom na sprzedaż mazowieckie grodziski Grodzisk Mazowiecki ,130 m²,4,225 m²,szeregowiec,beton,2019,do zamieszkania,plastikowe,wtórny,0,710 000 zł
53,Dom na sprzedaż mazowieckie Warszawa Ursynów ,240 m²,5,180 m²,szeregowiec,cegła,2000,,,wtórny,2 piętra,2 400 000 zł
54,Dom na sprzedaż mazowieckie płoński Raciąż ,180 m²,7,653 m²,wolnostojący,pustak,0,,plastikowe,wtórny,0,350 000 zł
55,Dom na sprzedaż mazowieckie miński Mińsk Mazowiecki ,556 m²,5,725 m²,wolnostojący,inne,2010,stan surowy otwarty,,wtórny,1 piętro,490 000 zł
56,Dom na sprzedaż mazowieckie siedlecki Niwiski ,270 m²,8,3 500 m²,wolnostojący,pustak,1990,,,wtórny,1 piętro,540 000 zł
57,Dom na sprzedaż mazowieckie grodziski Odrano-Wola ,151 m²,4,1 915 m²,wolnostojący,,2021,do wykończenia,plastikowe,wtórny,1 piętro,1 150 000 zł
58,Dom na sprzedaż mazowieckie grodziski Grodzisk Mazowiecki ,150 m²,6,390 m²,,,2022,do wykończenia,plastikowe,pierwotny,1 piętro,795 000 zł
59,Dom na sprzedaż mazowieckie pruszkowski Nadarzyn ,280 m²,6,650 m²,bliźniak,,1998,do zamieszkania,plastikowe,wtórny,2 piętra,1 090 000 zł
60,Dom na sprzedaż mazowieckie nowodworski Nowy Dwór Mazowiecki ul. Marii Curie-Skłodowskiej ,"98,16 m²",4,"22,61 m²",,,2021,,,pierwotny,0,0
61,Dom na sprzedaż mazowieckie piaseczyński Konstancin-Jeziorna ,230 m²,7,673 m²,wolnostojący,inne,2016,,plastikowe,wtórny,0,1 270 000 zł
62,Dom na sprzedaż mazowieckie piaseczyński Lesznowola ,134 m²,5,0,,,2021,,plastikowe,pierwotny,1 piętro,699 000 zł
63,Dom na sprzedaż mazowieckie pruszkowski Pruszków Żbików ,180 m²,5,800 m²,wolnostojący,cegła,1978,do zamieszkania,,wtórny,1 piętro,1 055 000 zł
64,Dom na sprzedaż mazowieckie ostrołęcki Baranowo Bartnia ,200 m²,6,894 m²,wolnostojący,pustak,2007,do zamieszkania,plastikowe,wtórny,1 piętro,459 000 zł
65,Dom na sprzedaż mazowieckie piaseczyński Lesznowola ul. Okrężna ,"108,02 m²",5,"75,43 m²",szeregowiec,cegła,2020,do wykończenia,plastikowe,pierwotny,1 piętro,0
66,Dom na sprzedaż mazowieckie Warszawa Wesoła ,741 m²,8,1 254 m²,wolnostojący,cegła,1992,,,wtórny,2 piętra,2 790 000 zł
67,Dom na sprzedaż mazowieckie pruszkowski Puchały Centralna ,480 m²,10,5 300 m²,wolnostojący,,1988,do zamieszkania,,wtórny,2 piętra,2 750 000 zł
68,Dom na sprzedaż mazowieckie grodziski Grodzisk Mazowiecki ,126 m²,4,200 m²,,beton komórkowy,2021,do wykończenia,plastikowe,pierwotny,0,580 000 zł
69,Dom na sprzedaż mazowieckie Warszawa Ursus ,247 m²,5,906 m²,wolnostojący,,1957,,plastikowe,wtórny,0,1 800 000 zł
70,Dom na sprzedaż mazowieckie Warszawa Wawer ,280 m²,7,386 m²,szeregowiec,cegła,1995,do remontu,drewniane,wtórny,1 piętro,899 000 zł
71,Dom na sprzedaż mazowieckie Warszawa Bielany ,595 m²,8,590 m²,bliźniak,cegła,2006,do wykończenia,drewniane,wtórny,3 piętra i więcej,2 000 000 zł
72,Dom na sprzedaż mazowieckie warszawski zachodni Zaborówek ,365 m²,6,874 m²,wolnostojący,,2001,do zamieszkania,plastikowe,wtórny,2 piętra,1 190 000 zł
73,Dom na sprzedaż mazowieckie nowodworski Cieksyn ,88 m²,4,500 m²,wolnostojący,drewno,2022,do wykończenia,plastikowe,pierwotny,parterowy,487 000 zł
74,Dom na sprzedaż mazowieckie pruszkowski Kanie ,186 m²,4,750 m²,wolnostojący,cegła,1997,,plastikowe,wtórny,0,868 900 zł
75,Dom na sprzedaż mazowieckie otwocki Józefów Michalin ,87 m²,4,280 m²,bliźniak,,0,do wykończenia,plastikowe,pierwotny,2 piętra,870 000 zł
76,Dom na sprzedaż mazowieckie piaseczyński Mieszkowo Malinowy Gaj ,"194,20 m²",5,0,bliźniak,,2022,do wykończenia,plastikowe,pierwotny,1 piętro,920 000 zł
77,Dom na sprzedaż mazowieckie warszawski zachodni Łomianki ,120 m²,4,1 105 m²,wolnostojący,,2008,do zamieszkania,plastikowe,wtórny,1 piętro,850 000 zł
78,Dom na sprzedaż mazowieckie piaseczyński Głosków ,140 m²,5,500 m²,bliźniak,silikat,2021,,plastikowe,pierwotny,0,729 000 zł
79,Dom na sprzedaż mazowieckie grodziski Grodzisk Mazowiecki ,130 m²,4,225 m²,szeregowiec,beton,2019,do zamieszkania,plastikowe,wtórny,0,709 900 zł
80,Dom na sprzedaż mazowieckie grodziski Osowiec ,"146,40 m²",4,1 000 m²,wolnostojący,,2021,do wykończenia,,pierwotny,0,549 000 zł
81,Dom na sprzedaż mazowieckie Warszawa Włochy Stare Włochy ,142 m²,3,99 m²,,,2011,,plastikowe,wtórny,0,2 000 000 zł
82,Dom na sprzedaż mazowieckie piaseczyński Józefosław ,314 m²,9,1 000 m²,wolnostojący,cegła,1997,do zamieszkania,plastikowe,wtórny,1 piętro,1 940 000 zł
83,Dom na sprzedaż mazowieckie Warszawa Białołęka Modlińska ,"168,86 m²",6,400 m²,bliźniak,,2022,do wykończenia,plastikowe,pierwotny,1 piętro,1 149 000 zł
84,Dom na sprzedaż mazowieckie grodziski Grodzisk Mazowiecki ,134 m²,4,168 m²,bliźniak,,2021,do wykończenia,plastikowe,wtórny,1 piętro,630 000 zł
85,Dom na sprzedaż mazowieckie grodziski Osowiec Jodłowa ,80 m²,3,1 000 m²,wolnostojący,pustak,2008,,plastikowe,wtórny,0,810 000 zł
86,Dom na sprzedaż mazowieckie wołomiński Marki ,260 m²,9,0,wolnostojący,,0,do zamieszkania,plastikowe,wtórny,1 piętro,1 950 000 zł
87,Dom na sprzedaż mazowieckie piaseczyński Józefosław ,"146,80 m²",5,0,,,2021,,,wtórny,0,1 300 000 zł
88,Dom na sprzedaż mazowieckie legionowski Jabłonna ,206 m²,4,1 148 m²,wolnostojący,drewno,2018,,,wtórny,0,1 799 000 zł
89,Dom na sprzedaż mazowieckie szydłowiecki Świerczek ,"147,70 m²",4,9 225 m²,wolnostojący,,2009,do wykończenia,plastikowe,wtórny,1 piętro,550 000 zł
90,Dom na sprzedaż mazowieckie piaseczyński Konstancin-Jeziorna ,"1 529,53 m²",10,9 296 m²,dworek/pałac,,2004,do zamieszkania,,wtórny,1 piętro,18 500 000 zł
91,Dom na sprzedaż mazowieckie sochaczewski Sochaczew ul. Prosta ,"134,80 m²",6,570 m²,wolnostojący,pustak,0,do remontu,plastikowe,wtórny,1 piętro,287 250 zł
92,Dom na sprzedaż mazowieckie piaseczyński Uwieliny ,120 m²,4,1 200 m²,wolnostojący,cegła,2002,,plastikowe,wtórny,0,649 000 zł
93,Dom na sprzedaż mazowieckie piaseczyński Czarnów ,100 m²,4,2 513 m²,wolnostojący,inne,1995,,,wtórny,2 piętra,799 000 zł
94,Dom na sprzedaż mazowieckie warszawski zachodni Klaudyn ,348 m²,6,1 581 m²,wolnostojący,pustak,2005,do zamieszkania,plastikowe,wtórny,2 piętra,2 750 000 zł
95,Dom na sprzedaż mazowieckie grodziski Grodzisk Mazowiecki ,120 m²,7,150 m²,,beton komórkowy,2021,,plastikowe,wtórny,0,570 000 zł
96,Dom na sprzedaż mazowieckie grójecki Główczyn-Towarzystwo ,1 000 m²,7,3 000 m²,wolnostojący,cegła,2010,do zamieszkania,plastikowe,wtórny,1 piętro,690 000 zł
97,Dom na sprzedaż mazowieckie grodziski Milanówek Literacka ,"203,60 m²",5,1 130 m²,wolnostojący,pustak,2020,,drewniane,pierwotny,0,1 990 000 zł
98,Dom na sprzedaż mazowieckie piaseczyński Konstancin-Jeziorna ,550 m²,6,3 975 m²,,cegła,2001,do zamieszkania,drewniane,wtórny,1 piętro,5 990 000 zł
99,Dom na sprzedaż mazowieckie Warszawa Wawer Międzylesie Ulanowska ,356 m²,5,360 m²,bliźniak,cegła,2008,do zamieszkania,,wtórny,2 piętra,1 350 000 zł
100,Dom na sprzedaż mazowieckie Warszawa Bemowo ,450 m²,6,0,bliźniak,,2017,,,wtórny,1 piętro,2 950 000 zł
101,Dom na sprzedaż mazowieckie legionowski Serock ,"138,19 m²",4,413 m²,szeregowiec,beton komórkowy,2020,do wykończenia,plastikowe,pierwotny,1 piętro,492 000 zł
102,Dom na sprzedaż mazowieckie warszawski zachodni Lipków ul. Józefa Paschalisa Jakubowicza ,"173,20 m²",5,249 m²,szeregowiec,,2021,do wykończenia,,pierwotny,1 piętro,0
103,Dom na sprzedaż mazowieckie piaseczyński Konstancin-Jeziorna Warecka ,450 m²,6,2 500 m²,wolnostojący,,1996,do zamieszkania,,wtórny,0,3 300 000 zł
104,Dom na sprzedaż mazowieckie miński Chobot ,119 m²,4,700 m²,bliźniak,pustak,2021,do wykończenia,,pierwotny,1 piętro,619 000 zł
105,Dom na sprzedaż mazowieckie piaseczyński Zgorzała ul. Przepiórki ,"96,43 m²",3,105 m²,,,2022,,,pierwotny,0,0
106,Dom na sprzedaż mazowieckie grodziski Grodzisk Mazowiecki ,150 m²,6,350 m²,szeregowiec,inne,2021,do wykończenia,plastikowe,pierwotny,0,659 000 zł
107,Dom na sprzedaż mazowieckie otwocki Góraszka ,140 m²,4,600 m²,bliźniak,cegła,2010,,,wtórny,1 piętro,1 490 000 zł
108,Dom na sprzedaż mazowieckie piaseczyński Zamienie ,160 m²,6,400 m²,szeregowiec,cegła,2019,do zamieszkania,drewniane,wtórny,2 piętra,1 250 000 zł
109,Dom na sprzedaż mazowieckie legionowski Łajski Białobłocka ,190 m²,6,1 000 m²,wolnostojący,cegła,2004,do zamieszkania,,wtórny,1 piętro,1 150 000 zł
110,Dom na sprzedaż mazowieckie legionowski Kąty Węgierskie ,378 m²,6,1 000 m²,wolnostojący,cegła,2010,do zamieszkania,plastikowe,wtórny,1 piętro,1 199 000 zł
111,Dom na sprzedaż mazowieckie legionowski Legionowo ul. Olszankowa ,172 m²,5,466 m²,wolnostojący,inne,2015,do zamieszkania,plastikowe,wtórny,1 piętro,1 199 000 zł
112,Dom na sprzedaż mazowieckie płocki Gąbin ,100 m²,6,561 m²,wolnostojący,,2008,,plastikowe,wtórny,0,369 000 zł
113,Dom na sprzedaż mazowieckie piaseczyński Kąty ,"74,60 m²",4,"87,60 m²",bliźniak,,2022,do wykończenia,,pierwotny,2 piętra,0
114,Dom na sprzedaż mazowieckie pruszkowski Piastów ,200 m²,6,578 m²,bliźniak,cegła,0,,plastikowe,wtórny,1 piętro,1 350 000 zł
115,Dom na sprzedaż mazowieckie grodziski Adamowizna ,"134,19 m²",5,700 m²,bliźniak,pustak,2021,do wykończenia,plastikowe,pierwotny,1 piętro,680 000 zł
116,Dom na sprzedaż mazowieckie Warszawa ,600 m²,8,3 500 m²,wolnostojący,,0,,,wtórny,2 piętra,6 900 000 zł
117,Dom na sprzedaż mazowieckie grodziski Adamowizna ,"150,20 m²",5,500 m²,bliźniak,pustak,2021,do wykończenia,,pierwotny,1 piętro,640 000 zł
118,Dom na sprzedaż mazowieckie warszawski zachodni Łomianki Dąbrowa ,165 m²,5,500 m²,,inne,2021,,plastikowe,wtórny,0,800 000 zł
119,Dom na sprzedaż mazowieckie wyszkowski Wyszków ,170 m²,3,250 m²,,,1970,do zamieszkania,plastikowe,wtórny,2 piętra,599 000 zł
120,Dom na sprzedaż mazowieckie wołomiński Wołomin ,200 m²,6,918 m²,wolnostojący,inne,1982,,plastikowe,wtórny,0,1 250 000 zł
121,Dom na sprzedaż mazowieckie pruszkowski Komorów ,137 m²,4,270 m²,wolnostojący,beton komórkowy,2020,do wykończenia,plastikowe,pierwotny,0,920 000 zł
122,Dom na sprzedaż mazowieckie miński Mińsk Mazowiecki ,"272,35 m²",9,660 m²,wolnostojący,,1995,,plastikowe,wtórny,2 piętra,990 000 zł
123,Dom na sprzedaż mazowieckie piaseczyński Podgóra ,"298,60 m²",8,9 794 m²,wolnostojący,beton komórkowy,0,do zamieszkania,plastikowe,wtórny,1 piętro,1 320 000 zł
124,Dom na sprzedaż mazowieckie legionowski Dosin ,103 m²,4,0,bliźniak,,0,,,wtórny,0,420 000 zł
125,Dom na sprzedaż mazowieckie warszawski zachodni Kaputy Sochaczewska ,"112,50 m²",4,0,szeregowiec,drewno,0,do wykończenia,plastikowe,pierwotny,1 piętro,739 118 zł
126,Dom na sprzedaż mazowieckie grodziski Bieganów ,130 m²,5,1 050 m²,wolnostojący,cegła,2011,stan surowy zamknięty,plastikowe,wtórny,parterowy,400 000 zł
127,Dom na sprzedaż mazowieckie Warszawa Wilanów ul. Bruzdowa ,"148,50 m²",5,"89,26 m²",szeregowiec,silikat,2023,,plastikowe,pierwotny,2 piętra,0
128,Dom na sprzedaż mazowieckie Warszawa Mokotów ul. Karola Kurpińskiego ,"415,90 m²",8,"315,70 m²",bliźniak,cegła,1988,do remontu,plastikowe,wtórny,2 piętra,4 000 000 zł
129,Dom na sprzedaż mazowieckie pruszkowski Nadarzyn ,172 m²,5,1 001 m²,wolnostojący,inne,2009,,plastikowe,wtórny,0,1 154 900 zł
130,Dom na sprzedaż mazowieckie ostrołęcki Płoszyce ,60 m²,2,3 200 m²,wolnostojący,,1961,,,wtórny,0,360 000 zł
131,Dom na sprzedaż mazowieckie wołomiński Kobyłka ,"125,83 m²",4,300 m²,,,0,do wykończenia,plastikowe,pierwotny,1 piętro,810 000 zł
132,Dom na sprzedaż mazowieckie grodziski Grodzisk Mazowiecki ,350 m²,8,6 000 m²,,drewno,1990,do zamieszkania,plastikowe,wtórny,2 piętra,3 900 000 zł
133,Dom na sprzedaż mazowieckie pułtuski Pułtusk ,400 m²,więcej niż 10,800 m²,kamienica,cegła,1887,do remontu,,wtórny,1 piętro,550 000 zł
134,Dom na sprzedaż mazowieckie warszawski zachodni Łomianki ,290 m²,5,1 023 m²,wolnostojący,cegła,2006,do zamieszkania,plastikowe,wtórny,1 piętro,1 550 000 zł
135,Dom na sprzedaż mazowieckie warszawski zachodni Łomianki ,180 m²,5,470 m²,wolnostojący,,2009,do zamieszkania,drewniane,wtórny,1 piętro,1 149 000 zł
136,Dom na sprzedaż mazowieckie piaseczyński Kamionka ,140 m²,5,577 m²,wolnostojący,,2022,do wykończenia,drewniane,pierwotny,2 piętra,699 000 zł
137,Dom na sprzedaż mazowieckie Warszawa Wilanów ,420 m²,6,470 m²,szeregowiec,,1997,do zamieszkania,drewniane,wtórny,2 piętra,2 500 000 zł
138,Dom na sprzedaż mazowieckie piaseczyński Konstancin-Jeziorna ,1 000 m²,10,3 500 m²,wolnostojący,cegła,0,do zamieszkania,drewniane,wtórny,2 piętra,3 950 000 zł
139,Dom na sprzedaż mazowieckie otwocki Józefów ul. Polna ,176 m²,6,316 m²,szeregowiec,cegła,2005,do zamieszkania,drewniane,wtórny,1 piętro,1 320 000 zł
140,Dom na sprzedaż mazowieckie miński Kiczki Pierwsze ,100 m²,3,3 000 m²,,,2004,do zamieszkania,plastikowe,wtórny,parterowy,310 000 zł
141,Dom na sprzedaż mazowieckie miński Mińsk Mazowiecki ,1 160 m²,więcej niż 10,7 375 m²,,,2003,do zamieszkania,plastikowe,wtórny,1 piętro,3 900 000 zł
142,Dom na sprzedaż mazowieckie Siedlce Nowe Siedlce ,180 m²,5,429 m²,,,2000,do wykończenia,plastikowe,wtórny,2 piętra,589 000 zł
143,Dom na sprzedaż mazowieckie pruszkowski Stara Wieś ,220 m²,6,1 350 m²,wolnostojący,,2012,do zamieszkania,plastikowe,wtórny,1 piętro,1 350 000 zł
144,Dom na sprzedaż mazowieckie pruszkowski Urzut ,207 m²,5,1 500 m²,wolnostojący,,2021,do wykończenia,plastikowe,pierwotny,0,1 275 000 zł
145,Dom na sprzedaż mazowieckie wołomiński Kobyłka ,"81,51 m²",4,0,,,2020,do wykończenia,plastikowe,pierwotny,1 piętro,580 000 zł
146,Dom na sprzedaż mazowieckie warszawski zachodni Łomianki Dąbrowa ,140 m²,4,200 m²,,cegła,2022,do wykończenia,,wtórny,0,1 200 000 zł
147,Dom na sprzedaż mazowieckie wołomiński Marki ks. bp. Władysława Bandurskiego ,130 m²,6,120 m²,szeregowiec,inne,2021,,,pierwotny,1 piętro,619 000 zł
148,Dom na sprzedaż mazowieckie warszawski zachodni Łomianki ,120 m²,4,400 m²,,inne,2020,,plastikowe,wtórny,0,700 000 zł
149,Dom na sprzedaż mazowieckie pruszkowski Młochów Mazowiecka ,180 m²,5,950 m²,wolnostojący,,2013,do zamieszkania,plastikowe,wtórny,1 piętro,1 100 000 zł
150,Dom na sprzedaż mazowieckie otwocki Józefów Jałowcowa ,760 m²,9,1 193 m²,wolnostojący,cegła,0,do zamieszkania,drewniane,wtórny,2 piętra,4 500 000 zł
151,Dom na sprzedaż mazowieckie Warszawa Bemowo ,460 m²,więcej niż 10,730 m²,,cegła,1938,,,wtórny,parterowy,1 950 000 zł
152,Dom na sprzedaż mazowieckie pruszkowski Rozalin Parkowa ,186 m²,5,600 m²,wolnostojący,inne,2011,do zamieszkania,,wtórny,2 piętra,1 030 000 zł
153,Dom na sprzedaż mazowieckie wołomiński Marki ,"118,32 m²",5,35 m²,szeregowiec,,2022,do zamieszkania,,wtórny,1 piętro,650 000 zł
154,Dom na sprzedaż mazowieckie grodziski Grodzisk Mazowiecki ,"131,26 m²",4,250 m²,szeregowiec,inne,2021,,,pierwotny,2 piętra,640 000 zł
155,Dom na sprzedaż mazowieckie wołomiński Kobyłka ,117 m²,5,130 m²,szeregowiec,,2021,do wykończenia,plastikowe,pierwotny,1 piętro,551 000 zł
156,Dom na sprzedaż mazowieckie makowski Bindużka ,100 m²,3,821 m²,,,0,,,wtórny,0,285 000 zł
157,Dom na sprzedaż mazowieckie otwocki Józefów ,355 m²,6,1 162 m²,wolnostojący,pustak,2008,do zamieszkania,plastikowe,wtórny,1 piętro,2 480 000 zł
158,Dom na sprzedaż mazowieckie piaseczyński Piaseczno ,"214,90 m²",5,180 m²,,,0,do zamieszkania,plastikowe,wtórny,1 piętro,799 000 zł
159,Dom na sprzedaż mazowieckie warszawski zachodni Kaputy ,132 m²,5,0,,beton,2021,,plastikowe,pierwotny,parterowy,758 440 zł
160,Dom na sprzedaż mazowieckie Warszawa Wilanów ul. Wiedeńska ,"224,69 m²",6,"310,63 m²",,,2022,,,pierwotny,2 piętra,0
161,Dom na sprzedaż mazowieckie wołomiński Marki ,170 m²,5,837 m²,wolnostojący,pustak,2011,,,wtórny,1 piętro,1 300 000 zł
162,Dom na sprzedaż mazowieckie piaseczyński Solec ,260 m²,6,1 200 m²,,,2015,do wykończenia,drewniane,pierwotny,2 piętra,1 395 000 zł
163,Dom na sprzedaż mazowieckie Warszawa Targówek Zacisze Tarnogórska ,625 m²,5,1 390 m²,wolnostojący,cegła,1998,do zamieszkania,,wtórny,0,2 299 000 zł
164,Dom na sprzedaż mazowieckie piaseczyński Piaseczno Zalesie Dolne ,211 m²,4,700 m²,bliźniak,,2008,do zamieszkania,drewniane,wtórny,0,1 328 000 zł
165,Dom na sprzedaż mazowieckie grodziski Janinów ,350 m²,8,1 500 m²,wolnostojący,,2019,do zamieszkania,,wtórny,1 piętro,1 800 000 zł
166,Dom na sprzedaż mazowieckie warszawski zachodni Izabelin C ,"432,25 m²",7,1 000 m²,wolnostojący,,2016,do wykończenia,plastikowe,wtórny,2 piętra,2 700 000 zł
167,Dom na sprzedaż mazowieckie pruszkowski Janki Leszczynowa ,"100,72 m²",4,132 m²,,,2022,do wykończenia,plastikowe,pierwotny,1 piętro,644 608 zł
168,Dom na sprzedaż mazowieckie wołomiński Ruda ,175 m²,4,1 000 m²,wolnostojący,beton komórkowy,2022,do wykończenia,plastikowe,pierwotny,parterowy,898 000 zł
169,Dom na sprzedaż mazowieckie pruszkowski Janki ,"150,52 m²",6,103 m²,bliźniak,silikat,2021,do wykończenia,plastikowe,pierwotny,1 piętro,748 837 zł
170,Dom na sprzedaż mazowieckie wołomiński Marki Jutrzenki ,234 m²,7,822 m²,wolnostojący,cegła,1982,do remontu,drewniane,wtórny,1 piętro,1 200 000 zł
171,Dom na sprzedaż mazowieckie wołomiński Kobyłka ,220 m²,4,1 380 m²,wolnostojący,cegła,2006,,,wtórny,0,2 299 000 zł
172,Dom na sprzedaż mazowieckie pruszkowski Raszyn ,270 m²,6,539 m²,bliźniak,cegła,1994,do zamieszkania,,wtórny,2 piętra,1 300 000 zł
173,Dom na sprzedaż mazowieckie pruszkowski Laszczki ,"146,52 m²",5,900 m²,wolnostojący,pustak,2022,do wykończenia,plastikowe,pierwotny,1 piętro,950 000 zł
174,Dom na sprzedaż mazowieckie piaseczyński Głosków ,300 m²,7,4 152 m²,wolnostojący,pustak,1993,do zamieszkania,drewniane,wtórny,2 piętra,1 500 000 zł
175,Dom na sprzedaż mazowieckie pruszkowski Sękocin-Las ,230 m²,7,2 100 m²,wolnostojący,silikat,2022,do wykończenia,drewniane,pierwotny,parterowy,0
176,Dom na sprzedaż mazowieckie pruszkowski Słomin ul. Chabrowa ,"82,30 m²",4,35 m²,,,2023,,,pierwotny,0,0
177,Dom na sprzedaż mazowieckie grodziski Wycinki Osowskie ,233 m²,6,1 320 m²,,,2019,,,wtórny,1 piętro,1 450 000 zł
178,Dom na sprzedaż mazowieckie legionowski Dosin ,130 m²,6,570 m²,bliźniak,beton komórkowy,2022,do wykończenia,plastikowe,pierwotny,1 piętro,530 000 zł
179,Dom na sprzedaż mazowieckie Warszawa Ursynów Pyry Akustyczna ,256 m²,5,360 m²,szeregowiec,,2003,,,wtórny,2 piętra,1 499 000 zł
180,Dom na sprzedaż mazowieckie wołomiński Ząbki ,130 m²,6,0,,inne,2021,,plastikowe,pierwotny,0,1 032 000 zł
181,Dom na sprzedaż mazowieckie grodziski Osowiec ,156 m²,6,1 000 m²,wolnostojący,cegła,2006,do zamieszkania,plastikowe,wtórny,1 piętro,1 330 000 zł
182,Dom na sprzedaż mazowieckie legionowski Izbica ,119 m²,4,3 000 m²,wolnostojący,drewno,2022,do wykończenia,plastikowe,pierwotny,parterowy,755 000 zł
183,Dom na sprzedaż mazowieckie piaseczyński Lesznowola ul. Okrężna ,"134,02 m²",5,"75,67 m²",szeregowiec,cegła,2020,do wykończenia,plastikowe,pierwotny,1 piętro,0
184,Dom na sprzedaż mazowieckie legionowski Rynia ,130 m²,2,792 m²,,inne,2008,do wykończenia,,wtórny,1 piętro,720 000 zł
185,Dom na sprzedaż mazowieckie Warszawa Ursynów Natolin ,395 m²,więcej niż 10,786 m²,bliźniak,cegła,2001,,,wtórny,parterowy,3 850 000 zł
186,Dom na sprzedaż mazowieckie grodziski Podkowa Leśna ,173 m²,5,1 001 m²,wolnostojący,inne,2009,,plastikowe,wtórny,0,1 155 000 zł
187,Dom na sprzedaż mazowieckie wyszkowski Tulewo Górne ,290 m²,5,1 090 m²,wolnostojący,,0,do zamieszkania,,wtórny,3 piętra i więcej,1 070 000 zł
188,Dom na sprzedaż mazowieckie płocki Bromierzyk ,520 m²,więcej niż 10,32 100 m²,wolnostojący,cegła,0,do remontu,,wtórny,1 piętro,1 199 000 zł
189,Dom na sprzedaż mazowieckie piaseczyński Krępa ,75 m²,4,129 m²,,,0,do wykończenia,,pierwotny,0,0
190,Dom na sprzedaż mazowieckie nowodworski Kazuń Nowy ,300 m²,7,1 991 m²,wolnostojący,cegła,2000,do zamieszkania,plastikowe,wtórny,1 piętro,2 650 000 zł
191,Dom na sprzedaż mazowieckie grodziski Grodzisk Mazowiecki ,78 m²,3,200 m²,,,2020,do wykończenia,plastikowe,pierwotny,1 piętro,479 000 zł
192,Dom na sprzedaż mazowieckie Warszawa Bielany ,510 m²,4,1 222 m²,wolnostojący,,2010,,,wtórny,1 piętro,4 480 000 zł
193,Dom na sprzedaż mazowieckie grójecki Warka ul. Bielańska ,4 500 m²,8,4 500 m²,wolnostojący,cegła,0,do zamieszkania,plastikowe,wtórny,1 piętro,2 600 000 zł
194,Dom na sprzedaż mazowieckie legionowski Legionowo ,270 m²,5,666 m²,wolnostojący,pustak,1980,do remontu,plastikowe,wtórny,3 piętra i więcej,660 000 zł
195,Dom na sprzedaż mazowieckie piaseczyński Bielawa ,200 m²,5,1 000 m²,bliźniak,cegła,2008,do zamieszkania,drewniane,wtórny,1 piętro,2 775 000 zł
196,Dom na sprzedaż mazowieckie pruszkowski Komorów ,151 m²,5,904 m²,wolnostojący,pustak,2007,,plastikowe,wtórny,0,979 900 zł
197,Dom na sprzedaż mazowieckie Warszawa Wilanów ,374 m²,7,800 m²,wolnostojący,cegła,2009,do zamieszkania,,wtórny,2 piętra,2 700 000 zł
198,Dom na sprzedaż mazowieckie piaseczyński Konstancin-Jeziorna ,210 m²,5,500 m²,bliźniak,,2004,do zamieszkania,,wtórny,0,1 990 000 zł
199,Dom na sprzedaż mazowieckie makowski Dłutkowo ,219 m²,4,20 000 m²,wolnostojący,cegła,2017,do zamieszkania,,wtórny,1 piętro,2 750 000 zł
